,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.5173214553296566,0.80745,58.084089040756226,58.45250344276428,0.01,100,True
1,1,2,0.36896129767100017,0.8639833333333333,53.33538484573364,112.06073355674744,0.01,100,True
2,1,3,0.3403017473469178,0.87505,48.655279874801636,160.96586918830872,0.01,100,True
3,2,1,0.5755929998556772,0.77975,51.549450635910034,52.31900763511658,0.01,100,False
4,2,2,0.39412987845639386,0.85385,85.74027347564697,138.3091380596161,0.01,100,False
5,2,3,0.3589792360117038,0.8657833333333333,79.47454333305359,218.18545174598694,0.01,100,False
6,3,1,1.0617981185515721,0.5886833333333333,47.082974672317505,49.04767107963562,0.01,1000,True
7,3,2,0.588341502348582,0.7748333333333334,41.64912509918213,90.87269711494446,0.01,1000,True
8,3,3,0.4807111442089081,0.8204333333333333,40.04357695579529,131.09816884994507,0.01,1000,True
9,4,1,1.0681148678064347,0.5910333333333333,41.29907774925232,43.059067249298096,0.01,1000,False
10,4,2,0.5837753464778265,0.77525,41.47703838348389,84.69800972938538,0.01,1000,False
11,4,3,0.485529292623202,0.8204833333333333,38.0656213760376,122.94252848625183,0.01,1000,False
12,5,1,0.7529617087046305,0.7225,63.85040068626404,64.11124658584595,0.001,100,True
13,5,2,0.5008215211331845,0.8081666666666667,54.196930170059204,118.64498519897461,0.001,100,True
14,5,3,0.4307221885273854,0.84225,67.04943656921387,185.95127367973328,0.001,100,True
15,6,1,0.779002934495608,0.7093,58.37786650657654,58.84160041809082,0.001,100,False
16,6,2,0.5031909170250098,0.8132833333333334,66.4675223827362,125.77685308456421,0.001,100,False
17,6,3,0.4301504622151454,0.8441,70.40325260162354,196.55788803100586,0.001,100,False
18,7,1,1.5426820427179337,0.47906666666666664,47.08700728416443,49.30373573303223,0.001,1000,True
19,7,2,0.7231810788313547,0.7259,44.98199200630188,94.44263863563538,0.001,1000,True
20,7,3,0.6151826620101929,0.7631666666666667,50.786043882369995,145.37460112571716,0.001,1000,True
21,8,1,1.5418861577908198,0.47305,50.73500108718872,52.595932960510254,0.001,1000,False
22,8,2,0.7959917495648067,0.6990333333333333,42.83378863334656,95.73155069351196,0.001,1000,False
23,8,3,0.6834961831569671,0.7436,39.368430614471436,135.2708842754364,0.001,1000,False
